"Number of Military and DoD Appropriated Fund (APF) Civilian Personnel Permanently Assigned","","","","","","","","","","","","","","","","","","","","","",""
"By Duty Location and Service/Component","","","","","","","","","","","","","","","","","","","","","",""
"As of December 31, 2017","","","","","","","","","","","","","","","","","","","","","",""
"Sources: Active Duty Master File, Reserve Common Components Personnel Data System (RCCPDS) File, Appropriated Fund (APF) Civilian Master File","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"LOCATION","DUTY STATE / COUNTRY","ACTIVE DUTY","","","","","","NATIONAL GUARD / RESERVE","","","","","","","","APF DOD CIVILIAN","","","","","","GRAND TOTAL"
"","","ARMY","NAVY","MARINE CORPS","AIR FORCE","COAST GUARD","TOTAL","ARMY NATIONAL GUARD","ARMY RESERVE","NAVY RESERVE","MARINE CORPS RESERVE","AIR NATIONAL GUARD","AIR FORCE RESERVE","COAST GUARD RESERVE","TOTAL","ARMY","NAVY","MARINE CORPS","AIR FORCE","4TH ESTATE (DOD)","TOTAL",""
"","NIGER","4","0","0","3","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"","NIGERIA","1","2","1","4","0","8","0","0","0","0","0","0","0","0","1","0","0","0","0","1","9"
"","NIUE","0","0","8","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"","NORTHERN MARIANA ISLANDS","0","0","2","0","0","2","0","0","0","0","0","0","0","0","2","2","0","0","0","4","6"
"","NORWAY","31","5","277","33","0","346","0","0","0","0","0","0","0","0","0","1","0","3","0","4","350"
"","OMAN","3","3","2","5","0","13","0","0","2","0","0","0","0","2","1","1","0","1","1","4","19"
"","PAKISTAN","4","3","5","15","0","27","0","0","3","0","1","0","0","4","0","0","0","0","0","0","31"
"","PANAMA","22","5","10","0","3","40","0","0","0","0","0","0","0","0","4","1","0","1","0","6","46"
"","PARAGUAY","5","0","0","1","0","6","0","0","0","0","0","0","0","0","2","0","0","0","0","2","8"
"","PERU","18","16","19","6","0","59","0","0","0","0","0","0","0","0","5","3","0","0","0","8","67"
"","PHILIPPINES","11","7","71","10","1","100","0","0","0","0","0","0","0","0","1","8","0","2","1","12","112"
"","POLAND","32","67","4","28","0","131","0","0","1","0","0","0","0","1","5","7","0","0","1","13","145"
"","PORTUGAL","1","11","2","179","0","193","0","0","0","0","0","0","0","0","3","3","0","3","0","9","202"
"","PUERTO RICO","109","27","19","21","0","176","6376","0","0","0","1155","0","0","7531","1066","27","0","288","604","1985","9692"
"","QATAR","259","6","26","238","0","529","0","0","45","0","0","0","0","45","47","0","0","3","4","54","628"
"","ROMANIA","7","81","338","13","0","439","0","0","0","0","0","0","0","0","37","7","0","1","0","45","484"
"","RUSSIA","5","3","0","4","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"","RWANDA","1","0","8","1","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"","SAINT BARTHELEMY","0","0","10","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"","SAINT PIERRE AND MIQUELON","0","0","8","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"","SAUDI ARABIA","216","16","10","59","0","301","0","0","0","0","0","0","0","0","174","2","0","19","21","216","517"
"","SENEGAL","4","4","4","0","0","12","0","0","0","0","0","0","0","0","0","1","0","0","0","1","13"
"","SERBIA","1","0","1","6","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"","SIERRA LEONE","1","0","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"","SINGAPORE","6","159","18","16","7","206","0","0","0","0","0","0","0","0","2","141","0","0","21","164","370"
"","SLOVAKIA","1","0","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"","SLOVENIA","0","0","0","2","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","1","3"
"","SOMALIA","0","2","25","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27"
"","SOUTH AFRICA","5","3","45","3","0","56","0","0","0","0","0","0","0","0","0","1","0","0","1","2","58"
"","SOUTH SUDAN","0","0","14","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
"","SPAIN","27","2645","841","392","0","3905","0","0","53","0","0","1","0","54","3","251","0","9","152","415","4374"
"","SRI LANKA","1","3","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"","SUDAN","1","0","13","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
"","SURINAME","1","1","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"","SWAZILAND","0","0","8","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"","SWEDEN","1","0","1","4","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"","SWITZERLAND","1","0","4","4","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"","SYRIA*","","","","","","","","","","","","","","","","","","","","",""
